youtube_id,piece_id
IO_-Qzf0-vk,202
xpW6n3kdJTs,167
8haROtKI5xs,171
wVcbEQayEGg,2621
SLR6UHVJlkk,518
DhEAP7KUpvA,890
2W7HIu_9iSk,811
nrtqADDCjdU,117
7LEwkwakiBo,917
c_Ka9aGiSOc,217
hlRh2JYuIrA,979
oACj0Y24bFY,1125
iUjo01vIBEs,72
uvC0NGmpuFY,1163
y2RUkdFwYHM,324
RQ7iTT5RUF4,1274
FlWmosdd2Tc,1139
oWo1NuCI7uc,9174
Tdzi4OrQw9g,4775
rIgvh6f6VMQ,1140
_sdDb75Go1o,403
uXNRl1K6ei8,8404
WJjQioFfmjQ,524
TgbpiCYL3Pw,1147
haU5TvjvDOw,918
RgIfmm9Kg7U,866
pnLeBdo1lEo,1293
ovajphcs7Zw,5077
iIO0UjLjVcU,280
8Z0cnzvPHpU,13520
wxMZjqzBT78,336
vdcFRIExCdY,5536
s9pffgJCItg,93
mS_6HJvdStk,3454
g0ZqBebyo40,13371
mWvhPONpKzA,13
3ATMpROUGDs,932
GRj6zkVcy5A,538
tw0Ny4Z4wD4,7575
hBPXQqlSI2o,230
LiS5O1yuGoU,15452
qQXy6KnrrTM,10532
unVTzwcpKsM,1837
l07rDuklJ-M,941
JQQXHUu1FPI,1123
7ocIvloWNjU,1173
F4ph_GQMv7Y,1001
DTUEQtqvm-0,47
u6qPo67tGGo,1148
XGjOe0AE54k,1168
dG0Qbqdjoi8,222
A4GOH9axVek,926
088KUEH1Hiw,1194
9aT-RExHn_4,640
tWyRGLtPHVM,6508
5kuPOei5DGU,1265
PHrVrmC_JXU,1178
r6dTVvV3mcY,14093
dV6nKbrGPr0,554
nPLEBuXSUJw,1381
Ef_uzP5f8s4,850
JFjt81hoWXA,1299
Uc2SCikfHaE,11197
hKNemhSuC4A,677
cElTb_29dMo,817
zaDDUiZq5dQ,9119
a16POhiuP8c,10973
XKw_52x9dj8,10974
xtm0Jy1OFHM,13524
OkySpaeZUnE,606
OgruO7kgk10,873
qMbkIsyOGsM,372
RmDey4MX3rA,650
oicgo93MbnU,17004
2_Z1En_eX5c,533
mdnGDWXnZFQ,754
txxd2As5K5A,425
i4R5sFkoAxs,313
RMXue9N51nU,1208
BZkjiCKkNVs,743
pkQKseVDLE8,3255
2FLMpe1cuYc,582
WHUPpGDCHfI,327
yGIJdxJeXaY,834
rUEfcgB08C8,889
hqFeq2Z0MdU,294
bp522bsRseM,1100
K080Wh4BJqA,596
4CHxCjmb324,9159
g_6hJ1xcocg,1248
RnUz0Qju9uM,751
S8BvNcduBnM,1294
XnI7dBGpTPo,810
dnJOKb2KiLk,10520
Uqq5uQm4KbE,423
6AfuIOBYWxs,11229
Q6mjX4IGul8,10862
Swp2Bc86JeY,1066
Q5m0jfYH5CQ,916
OQIJUvuPf-M,418
QKZYdohMi6o,1185
Q64tgZHp71c,1329
ML8sEql46Sc,591
3oXQwjcxeJQ,894
uWDVmue1mLo,894
O6uoZdK43KY,1090
ZrR9gWn8aHI,293
IXhIPtK9ABc,653
QlAWfjaTpN0,1011
jalq-GaDfsg,1377
-DXmooVV5Tg,899
9eS99xteX5A,989
u-G9gJHpnS8,78
WREhPUnq56w,760
3ol2imytir0,742
ZsxdmCvW5Jc,10764
giDo6Zr19ek,704
eOH-D6OfT8Q,1010
kqDoH4Dk0s0,685
OK5bJBJC3tk,1099
ISlyIMtsdn4,226
zUvdmyS_c2c,8078
MTtKrj99bxY,411
fHlvlYJUiso,196
ISYi7vphkqo,903
GnaNNsZbqrQ,1322
4d6hI45ZyUM,397
RPLP0eusWUc,236
mv9lUkDBcTI,1239
TCVJXCjKpJU,6677
koaV7pbggZY,588
ws2ibKVArgE,827
9K-g9QoZkqg,455
UFfxbyoEc24,8754
dESoLm7dph0,7037
inrMTc7SwbI,649
XuyCjRqE8SA,291
5YWdKw49MUw,736
YOmxJ7Czm8I,504
cqmc6eaei4o,10489
Sk_2WtMKYqU,279
-Ke10RoV99I,1252
NLnT-06Y2fs,3313
Ti-DW_JkkQ4,1310
dodZ3oJ25HY,1435
0LU1tGmpQEI,13814
kHMNHWOguT4,1128
ctavd6WeddQ,14111
6EV6_5GX3vg,2602
jkCiPF8FUYs,3300
M22O0iHkpLY,13471
PHQCRIKCpMw,697
KVGJxssGN_A,464
xD5R7LbPamg,3255
p6Uckn-6pwo,1216
frB4t_4sWYo,644
8EbhNbK994E,45
lxV92-FqJwQ,484
yc5jupGa8Jc,731
VytbIdVYKPQ,904
uQvLKgIFyfE,408
tzUp1af7AKo,9780
Lr3dKSth230,17521
